City,Country,City ID,Latitude,Temperature,Wind Speed,Humidity,Cloudiness
Bathsheba,BB,3374083,13.22,25.0,6.7,83,40
Lityn,UA,702931,49.32,1.5,5.21,84,36
Fortuna,US,5563839,40.6,12.0,8.2,58,1
Hobart,AU,2163355,-42.88,21.0,7.7,40,75
Nikko,JP,1855395,36.75,16.0,1.5,67,75
Tuktoyaktuk,CA,6170031,69.44,-18.58,2.6,84,75
Vao,NC,2137773,-22.67,25.42,8.36,100,44
Clyde,NZ,2192264,-45.19,13.97,2.96,40,0
Yellowknife,CA,6185377,62.45,-15.0,4.1,50,20
Lavrentiya,RU,4031637,65.58,-2.51,0.86,100,0
Ushuaia,AR,3833367,-54.81,5.0,7.7,86,90
Busselton,AU,2075265,-33.64,22.05,5.71,91,0
Puerto Ayora,EC,3652764,-0.74,25.0,3.6,83,75
Souillac,MU,933995,-20.52,26.0,2.1,88,75
Haines Junction,CA,5969025,60.75,-10.43,2.86,68,68
Bredasdorp,ZA,1015776,-34.53,14.0,1.0,93,88
Kapaa,US,5848280,22.08,24.31,6.7,69,90
Kiboga,UG,231550,0.92,18.87,1.31,92,56
Maniitsoq,GL,3421982,65.42,-5.58,2.41,61,0
Port Hueneme,US,5384339,34.15,16.0,3.1,72,75
Qaanaaq,GL,3831208,77.48,-19.56,3.46,74,0
Clyde River,CA,5924351,70.47,-12.0,9.8,92,90
Hilo,US,5855927,19.71,21.05,4.1,69,90
Waipawa,NZ,2185329,-39.94,21.67,6.71,54,24
Hithadhoo,MV,1282256,-0.6,28.97,3.31,100,80
New Norfolk,AU,2155415,-42.78,21.0,7.7,40,75
Kaitangata,NZ,2208248,-46.28,14.87,10.71,63,0
Choma,ZM,917748,-16.81,12.97,1.81,84,0
Bambanglipuro,ID,1650434,-7.95,24.07,1.36,94,12
Lake Cowichan,CA,6048316,48.82,8.33,2.6,52,75
Zhezkazgan,KZ,1516589,47.8,-4.0,6.0,85,0
Oranjestad,AW,3577154,12.52,27.0,5.7,83,40
Bethel,US,5880568,60.79,1.0,8.2,69,1
Igarka,RU,1505991,67.47,-21.56,3.66,75,56
Mega,ET,331259,4.06,14.45,1.46,83,56
Hermanus,ZA,3366880,-34.42,16.55,2.11,98,36
Santa Marta,CO,3668605,11.24,28.0,9.3,65,75
Castro,CL,3896218,-42.48,13.47,1.16,97,88
Albany,AU,2077963,-35.02,17.37,2.86,84,0
Klaksvik,FO,2618795,62.23,-1.0,6.7,68,80
Turayf,SA,101312,31.68,16.0,3.1,44,0
Talnakh,RU,1490256,69.49,-29.56,1.26,61,12
South Yuba City,US,5397851,39.12,22.71,4.1,27,1
Rikitea,PF,4030556,-23.12,25.75,2.21,100,32
Arraial do Cabo,BR,3471451,-22.97,25.0,1.0,88,40
Luderitz,NA,3355672,-26.65,18.0,2.1,77,88
Tazovskiy,RU,1489853,67.47,-20.76,6.61,84,36
Atuona,PF,4020109,-9.8,27.75,7.31,100,0
Jieznas,LT,598854,54.6,-1.0,4.6,86,90
Tarko-Sale,RU,1490085,64.92,-19.43,5.61,75,56
Fougamou,GA,2400578,-1.22,22.47,1.31,100,92
Nueva Loja,EC,3655185,0.08,22.92,1.21,93,48
Liverpool,CA,6057856,44.04,2.1,3.11,88,32
Kot Radha kishan,PK,1182829,31.17,22.0,2.6,78,20
Port Alfred,ZA,964432,-33.59,21.7,3.91,90,36
Awbari,LY,2219235,26.59,19.07,4.21,26,8
Khatanga,RU,2022572,71.98,-22.43,3.36,81,56
Nichinan,JP,1855476,31.65,19.42,1.0,68,20
Cayenne,GF,3382160,4.94,27.0,4.1,83,75
Nicoya,CR,3622716,10.15,29.0,5.1,48,0
Punta Arenas,CL,3874787,-53.16,5.0,6.7,80,0
Torbay,CA,6167817,47.66,-1.0,6.2,80,90
Atambua,ID,1651103,-9.11,26.97,1.31,100,0
Ozinki,RU,513328,51.2,-0.26,5.81,87,0
Vaini,TO,4032243,-21.2,24.0,6.2,100,90
Zemio,CF,235826,5.02,20.45,2.06,97,68
Antalaha,MG,1071296,-14.9,23.45,2.96,100,92
Aykhal,RU,2027296,65.95,-19.51,2.56,59,0
Dwarka,IN,1273294,28.58,25.0,2.1,50,20
Norman Wells,CA,6089245,65.28,-12.0,4.6,51,75
Barrow,US,4252975,39.51,2.34,4.1,100,90
Iqaluit,CA,5983720,63.75,-6.0,13.4,92,90
Ribeira Grande,PT,3372707,38.52,16.05,12.21,100,48
Bambous Virieux,MU,1106677,-20.34,26.0,2.1,88,75
Maraa,BR,3663475,-1.83,26.3,2.56,88,44
Polunochnoye,RU,1494482,60.87,-9.76,2.91,62,32
Tura,RU,2014833,64.27,-11.63,2.41,68,44
Camacha,PT,2270385,33.08,16.57,4.6,82,40
Ankazoabo,MG,1072879,-22.29,20.57,1.96,88,76
Okaihau,NZ,2185786,-35.32,22.35,1.91,52,0
Leningradskiy,RU,2123814,69.38,-2.78,2.61,91,12
Cape Town,ZA,3369157,-33.93,19.0,8.2,72,0
Negombo,LK,1233369,7.21,24.0,2.1,88,56
Dikson,RU,1507390,73.51,-15.56,7.06,81,44
Bluff,NZ,2206939,-46.6,14.1,13.86,99,80
Port-Gentil,GA,2396518,-0.72,26.57,1.86,100,88
Seoul,KR,1835848,37.57,17.97,2.6,68,75
Jaisalmer,IN,1269507,26.91,21.3,0.31,72,64
Kimamba,TZ,157366,-6.79,19.75,1.16,96,92
Palmer,US,5871146,61.6,4.14,9.8,32,1
Lebu,CL,3883457,-37.62,14.45,6.11,97,0
Chuy,UY,3443061,-33.69,19.37,2.31,97,64
Karasjok,NO,779350,69.47,-4.83,3.76,88,80
Ilulissat,GL,3423146,69.22,-11.0,3.6,85,0
Vardo,NO,777019,70.37,1.3,10.11,100,88
Severo-Kurilsk,RU,2121385,50.68,-0.46,7.81,99,92
East London,ZA,1006984,-33.02,23.97,5.46,98,76
Butaritari,KI,2110227,3.07,28.42,6.06,99,64
